class,method,property
*,identifier,@id
*,title,name
*,description,description
Person,first_name,givenName
Person,last_name,familyName
Person,image,image
Person,url,url
Person,member_of,memberOf
Person,orcid,orcid
Project,image,logo
Project,url,url
Project,member,member
Event,contact,contact
Event,start_date, startDate
Event,end_date, endDate
Event,event_type,eventType
Event,location,location
Event,url,url
Event,host_institution, hostInstitution
DataFile,keywords,keywords
DataFile,url,url
DataFile,doi,identifier
DataFile,license,license
DataFile,creator,creator
DataFile,distribution,distribution
DataFile,provider,provider
Organism,concept_uri,sameAs
Organism,synonyms,alternateName
Seek::BioSchema::DataCatalogueMockModel,url,url
Seek::BioSchema::DataCatalogueMockModel,date_created,dateCreated
Seek::BioSchema::DataCatalogueMockModel,keywords,keywords
Seek::BioSchema::DataCatalogueMockModel,provider,provider
Sample,url,url
Sample,properties,additionalProperty
Sample,keywords,keywords
Document,keywords,keywords
Document,content_type,encodingFormat
Document,subject_of,subjectOf
Document,provider,provider
Document,created_at,dateCreated
Document,updated_at,dateModified
Document,creator,creator
Document,license,license
Document,url,url
Presentation,keywords,keywords
Presentation,content_type,encodingFormat
Presentation,subject_of,subjectOf
Presentation,provider,provider
Presentation,created_at,dateCreated
Presentation,updated_at,dateModified
Presentation,creator,creator
Presentation,license,license
Presentation,url,url
