class,method,property,uri or literal,transformation
*,title,RDF::DC.title,l,
*,description,RDF::DC.description,l,
Assay,study,JERMVocab.isPartOf,u,
Study,investigation,JERMVocab.isPartOf,u,
Study,assays,JERMVocab.hasPart,u,
Investigation,studies,JERMVocab.hasPart,u,
*,contributor,JERMVocab.hasContributor,u,item.is_a?(User) ? item.person : item
*,contributors,JERMVocab.hasContributor,u,item.is_a?(User) ? item.person : item
*,creators,JERMVocab.hasCreator,u,item.is_a?(User) ? item.person : item
Person,studies,JERMVocab.isContributorOf,u,
Person,investigations,JERMVocab.isContributorOf,u,
Person,assays,JERMVocab.isContributorOf,u,
Person,assets,JERMVocab.isCreatorOf,u,
Person,name,RDF::SIOC.name,l,
Person,name,RDF::FOAF.name,l,
Person,web_page,RDF::FOAF.homepage,u,
Person,email,RDF::FOAF.mbox,u,'mailto:'+item
*,version,RDF::DC.hasVersion,l,
Person,first_name,RDF::FOAF.firstName,l,
Person,last_name,RDF::FOAF.familyName,l,
Person,skype_name,RDF::FOAF.skypeID,l,
Assay,organisms,JERMVocab.investigates,u,
Model,projects,JERMVocab.itemProducedBy,u,
Sop,projects,JERMVocab.itemProducedBy,u,
DataFile,projects,JERMVocab.itemProducedBy,u,
Publication,projects,JERMVocab.itemProducedBy,u,
Study,projects,JERMVocab.itemProducedBy,u,
Investigation,projects,JERMVocab.itemProducedBy,u,
Assay,projects,JERMVocab.itemProducedBy,u,
Project,web_page,RDF::FOAF.homepage,u,
Project,assets,JERMVocab.hasItem,u,
Project,investigations,JERMVocab.hasItem,u,
Project,studies,JERMVocab.hasItem,u,
Project,assays,JERMVocab.hasItem,u,
Project,organisms,JERMVocab.investigates,u,
*,created_at,RDF::DC.created,l,
*,updated_at,RDF::DC.modified,l,
*,managers,RDF::SIOC.has_owner,u,
*,creators,RDF::SIOC.has_creator,u,
